COWZ: Pacer US Cash Cows 100 ETF
Inception Date: 2016-12-16
Fund Holdings as of: 2022-01-05
Total Assets Under Management (in thousands):	1329810
Shares Outstanding: 28100000
Expense Ratio: 0.49%
Tracks This Index: Pacer US Cash Cows 100 Index 
ETF Database Category: All Cap Equities
Issuer: Pacer Advisors
Structure: ETF
ETF Home Page: https://etfdb.com/etf/COWZ


Holding,Symbol,Weighting
CVS Health Corporation,CVS,2.21%
International Business Machines Corporation,IBM,2.21%
"AbbVie, Inc.",ABBV,2.17%
"Freeport-McMoRan, Inc.",FCX,2.16%
McKesson Corporation,MCK,2.15%
Altria Group Inc,MO,2.1%
"Dow, Inc.",DOW,2.09%
Bristol-Myers Squibb Company,BMY,2.09%
Intel Corporation,INTC,2.08%
Archer-Daniels-Midland Company,ADM,2.08%
Exxon Mobil Corporation,XOM,2.08%
Occidental Petroleum Corporation,OXY,2.07%
LyondellBasell Industries NV,LYB,2.05%
ConocoPhillips,COP,2.02%
"Gilead Sciences, Inc.",GILD,1.97%
HP Inc.,HPQ,1.97%
Pfizer Inc.,PFE,1.95%
"VMware, Inc. Class A",VMW,1.93%
"Lumen Technologies, Inc.",LUMN,1.93%
Dell Technologies Inc Class C,DELL,1.88%
"Regeneron Pharmaceuticals, Inc.",REGN,1.78%
"Activision Blizzard, Inc.",ATVI,1.61%
"Ross Stores, Inc.",ROST,1.49%
Weyerhaeuser Company,WY,1.45%
Lennar Corporation Class A,LEN,1.43%
"Tyson Foods, Inc. Class A",TSN,1.42%
"Expedia Group, Inc.",EXPE,1.4%
Nucor Corporation,NUE,1.4%
Omnicom Group Inc,OMC,1.39%
Laboratory Corporation of America Holdings,LH,1.36%
"Moderna, Inc.",MRNA,1.33%
United States Steel Corporation,X,1.28%
AmerisourceBergen Corporation,ABC,1.25%
International Paper Company,IP,1.18%
Organon & Co.,OGN,1.16%
"NRG Energy, Inc.",NRG,1.15%
"Discovery, Inc. Class A",DISCA,1.14%
"AutoNation, Inc.",AN,1.07%
APA Corp.,APA,1.05%
"Interpublic Group of Companies, Inc.",IPG,1.05%
"Diamondback Energy, Inc.",FANG,1.04%
"Hologic, Inc.",HOLX,1.03%
Targa Resources Corp.,TRGP,1.03%
Fox Corporation Class A,FOXA,1.03%
Whirlpool Corporation,WHR,1.01%
"Penske Automotive Group, Inc.",PAG,1.0%
"Continental Resources, Inc.",CLR,0.94%
Quest Diagnostics Incorporated,DGX,0.93%
Kohl\'s Corporation,KSS,0.92%
"Albertsons Companies, Inc. Class A",ACI,0.9%
Marathon Oil Corporation,MRO,0.83%
Westlake Chemical Corporation,WLK,0.82%
LKQ Corporation,LKQ,0.76%
Louisiana-Pacific Corporation,LPX,0.76%
WestRock Company,WRK,0.75%
Alliance Data Systems Corporation,ADS,0.74%
"Lithia Motors, Inc.",LAD,0.74%
Textron Inc.,TXT,0.72%
"NVR, Inc.",NVR,0.7%
"Williams-Sonoma, Inc.",WSM,0.67%
"NetApp, Inc.",NTAP,0.67%
"Dick\'s Sporting Goods, Inc.",DKS,0.64%
Owens Corning,OC,0.64%
"Toll Brothers, Inc.",TOL,0.62%
Oshkosh Corp,OSK,0.59%
Olin Corporation,OLN,0.58%
"Tapestry, Inc.",TPR,0.57%
"PulteGroup, Inc.",PHM,0.54%
"Nexstar Media Group, Inc. Class A",NXST,0.52%
"Mohawk Industries, Inc.",MHK,0.51%
Snap-on Incorporated,SNA,0.5%
"Qurate Retail, Inc. Class A",QRTEA,0.5%
"Harley-Davidson, Inc.",HOG,0.45%
Chemours Co.,CC,0.43%
Boyd Gaming Corporation,BYD,0.41%
Ralph Lauren Corporation Class A,RL,0.39%
"Huntington Ingalls Industries, Inc.",HII,0.38%
Amdocs Limited,DOX,0.38%
"Lumentum Holdings, Inc.",LITE,0.37%
Hanesbrands Inc.,HBI,0.35%
Xerox Holdings Corporation,XRX,0.35%
"Dropbox, Inc. Class A",DBX,0.35%
"Foot Locker, Inc.",FL,0.33%
CACI International Inc Class A,CACI,0.31%
ManpowerGroup Inc.,MAN,0.29%
Victoria\'s Secret & Company,VSCO,0.29%
Antero Midstream Corp.,AM,0.29%
"H&R Block, Inc.",HRB,0.29%
Quidel Corporation,QDEL,0.27%
Eagle Materials Inc.,EXP,0.26%
"Allison Transmission Holdings, Inc.",ALSN,0.25%
StoneCo Ltd. Class A,STNE,0.24%
Columbia Sportswear Company,COLM,0.21%
Teradata Corporation,TDC,0.2%
Premier Inc. Class A,PINC,0.19%
CureVac N.V.,CVAC,0.19%
"Grand Canyon Education, Inc.",LOPE,0.18%
Sylvamo Corporation,SLVM,0.17%
U.S. Dollar,Other,0.16%
"Exelixis, Inc.",EXEL,0.16%
"Loyalty Ventures, Inc.",LYLT,0.1%
